1
【魔都离婚率为神马高?】瑞典研究:如果夫妻中有一人每天上下班路程花费45分钟以上,回家时就会因过于疲劳而无法分担家务.而另一方会有被忽视的感觉.冲突便逐渐增加; 那些要花很长时间乘车或驾车上下班的人和配偶离婚的可能性比其他人要高出40%..上海离婚率全国排名第2,高达38%;再看看拥堵程度,准阿!!!
[0.540604293346405, 0.5807695984840393, 0.41820546984672546, 0.29406240582466125, 0.5579391717910767]
[0.4411682188510895, 0.5549591183662415, 0.48189204931259155, 0.37771815061569214, 0.4635103642940521]
[0.46826109290122986, 0.5632743835449219, 0.4401015341281891, 0.29739856719970703, 0.5002211928367615]
[0.485554575920105, 0.5610241889953613, 0.4551860988140106, 0.32780921459198, 0.48587802052497864]
[0.5268613696098328, 0.5677120089530945, 0.4438992738723755, 0.32071778178215027, 0.5515452027320862]
[0.48578941822052, 0.5753925442695618, 0.431449294090271, 0.31242984533309937, 0.520853579044342]
[0.5494257807731628, 0.5623955726623535, 0.42113396525382996, 0.29567793011665344, 0.55544114112854]
[0.47279468178749084, 0.5446986556053162, 0.4629709720611572, 0.31315356492996216, 0.5110899209976196]
[0.42813628911972046, 0.5264058113098145, 0.4700627326965332, 0.3277146518230438, 0.4611450135707855]
[0.3531107008457184, 0.5305349826812744, 0.5169633626937866, 0.39116814732551575, 0.43958181142807007]
[0.48750150203704834, 0.5818251371383667, 0.4406917989253998, 0.2995184659957886, 0.504793107509613]
[0.5448446273803711, 0.5835701823234558, 0.4262745678424835, 0.2763398587703705, 0.5399181842803955]
[0.5362789034843445, 0.5473379492759705, 0.44550660252571106, 0.3030666708946228, 0.5435954332351685]
[0.48310789465904236, 0.581786036491394, 0.4514400362968445, 0.3090824782848358, 0.5203942060470581]
[0.5251362323760986, 0.5613996982574463, 0.44356414675712585, 0.27285659313201904, 0.5369915962219238]
[0.5129244923591614, 0.5672462582588196, 0.42325130105018616, 0.27035266160964966, 0.5050621032714844]
[0.4799957871437073, 0.5498918294906616, 0.47475287318229675, 0.3169710040092468, 0.5147635340690613]
[0.44504761695861816, 0.5544464588165283, 0.47750309109687805, 0.31498846411705017, 0.4964471161365509]
[0.4385550916194916, 0.558247983455658, 0.4428313672542572, 0.33094778656959534, 0.47113528847694397]
[0.5350785851478577, 0.5624107718467712, 0.4275839030742645, 0.26593515276908875, 0.5366155505180359]
[0.5278342366218567, 0.5799441337585449, 0.4390789270401001, 0.2862812578678131, 0.5084038972854614]
[0.5263506770133972, 0.5789186954498291, 0.42868924140930176, 0.24548588693141937, 0.5118110179901123]
[0.5533610582351685, 0.5841960906982422, 0.4143087863922119, 0.26770254969596863, 0.5651680827140808]
[0.502099871635437, 0.559490978717804, 0.4583616256713867, 0.29310914874076843, 0.516488790512085]
[0.37589749693870544, 0.5577855110168457, 0.44758397340774536, 0.31370580196380615, 0.4379955530166626]
[0.44350919127464294, 0.5563257336616516, 0.4888058304786682, 0.35986459255218506, 0.4807812571525574]
[0.4666067659854889, 0.5674740672111511, 0.44975560903549194, 0.30815064907073975, 0.47968003153800964]
[0.526565670967102, 0.5572400689125061, 0.43283915519714355, 0.30709195137023926, 0.4841960668563843]
[0.473170667886734, 0.5361447930335999, 0.4595268666744232, 0.3491821587085724, 0.4640461206436157]
[0.509661853313446, 0.576445460319519, 0.4544370472431183, 0.2994459569454193, 0.5360825657844543]
[0.48744285106658936, 0.5612356066703796, 0.45416000485420227, 0.3153892755508423, 0.49945783615112305]
[0.5061931610107422, 0.5769224762916565, 0.45683953166007996, 0.30679792165756226, 0.526691198348999]
[0.48258915543556213, 0.5760027766227722, 0.4758943021297455, 0.29095375537872314, 0.4990628659725189]
[0.40655189752578735, 0.5437718629837036, 0.492371141910553, 0.36057719588279724, 0.4535914659500122]
[0.4319152534008026, 0.5520493984222412, 0.4858444035053253, 0.38069790601730347, 0.4457956552505493]
[0.43900594115257263, 0.5215609073638916, 0.4772980213165283, 0.333095520734787, 0.4855698049068451]
