1
如果刘翔得了伦敦奥运会金牌,凡转发并关注我的朋友,所有人送一台最新版的iPhone+iPad+Mac Air.看好,不是一个人！而是所有人！决不骗人！获金牌立即兑现！
[0.528118908405304, 0.5852379202842712, 0.43063226342201233, 0.2623966634273529, 0.5555712580680847]
[0.6215498447418213, 0.590591549873352, 0.37297654151916504, 0.21998143196105957, 0.6089792847633362]
[0.3937367796897888, 0.5411385297775269, 0.46231403946876526, 0.3388577401638031, 0.47215086221694946]
[0.4502499997615814, 0.5825034379959106, 0.44765836000442505, 0.29133114218711853, 0.48963648080825806]
[0.4992715120315552, 0.5665257573127747, 0.4735373854637146, 0.3215682804584503, 0.5174596905708313]
[0.4503357708454132, 0.5627984404563904, 0.4730328917503357, 0.34305524826049805, 0.48866334557533264]
[0.3525565266609192, 0.5549966096878052, 0.4557444751262665, 0.29298844933509827, 0.43208077549934387]
[0.4925832450389862, 0.5580199360847473, 0.4533388316631317, 0.343342661857605, 0.5066747069358826]
[0.5195121169090271, 0.5699407458305359, 0.48324352502822876, 0.33660563826560974, 0.5294910669326782]
[0.5462419986724854, 0.5753111839294434, 0.42889106273651123, 0.29953649640083313, 0.5525942444801331]
[0.48880165815353394, 0.5816428661346436, 0.43704742193222046, 0.2828066051006317, 0.524338960647583]
[0.5742243528366089, 0.5818253755569458, 0.38966578245162964, 0.24972237646579742, 0.5669943690299988]
[0.5306703448295593, 0.5974289774894714, 0.42014846205711365, 0.2612197697162628, 0.5682461857795715]
[0.5322243571281433, 0.5810154676437378, 0.42952752113342285, 0.2865024507045746, 0.5551776885986328]
[0.5105224847793579, 0.5952286720275879, 0.4397751986980438, 0.27457934617996216, 0.5287443995475769]
[0.550453245639801, 0.5605190992355347, 0.4195164144039154, 0.30107712745666504, 0.5539222955703735]
[0.5469608902931213, 0.5974671840667725, 0.4132295250892639, 0.26531052589416504, 0.5663204193115234]
[0.5381019711494446, 0.5854855179786682, 0.43420401215553284, 0.30015164613723755, 0.5532428026199341]
[0.5186620950698853, 0.5708993077278137, 0.4156286120414734, 0.2975807189941406, 0.5343635678291321]
[0.506532609462738, 0.5959643125534058, 0.4126585125923157, 0.2743836045265198, 0.5137982964515686]
[0.5082888603210449, 0.5953763127326965, 0.4290846288204193, 0.2588912844657898, 0.5323491096496582]
[0.5465500950813293, 0.5669747591018677, 0.43870043754577637, 0.29678812623023987, 0.5435630679130554]
[0.529917299747467, 0.5833520293235779, 0.42548245191574097, 0.27439260482788086, 0.5441655516624451]
[0.4728381931781769, 0.5697349905967712, 0.4314720630645752, 0.29760560393333435, 0.4895228147506714]
[0.5868220925331116, 0.5998448729515076, 0.4006178677082062, 0.2573590874671936, 0.5696827173233032]
[0.5217447876930237, 0.5772979855537415, 0.4279271066188812, 0.28420087695121765, 0.532067060470581]
[0.4896587133407593, 0.5791651010513306, 0.4274458587169647, 0.2882910668849945, 0.5096859931945801]
[0.4905417859554291, 0.531860888004303, 0.46571967005729675, 0.3397749662399292, 0.5164125561714172]
[0.36341592669487, 0.5283766984939575, 0.4918592870235443, 0.38370129466056824, 0.4247806966304779]
[0.5080143213272095, 0.5352725386619568, 0.4163796603679657, 0.28921329975128174, 0.5541507005691528]
[0.5128017663955688, 0.5072554349899292, 0.5003549456596375, 0.3999745845794678, 0.5159038305282593]
[0.5094724297523499, 0.5885746479034424, 0.44112125039100647, 0.27309370040893555, 0.5569491386413574]
[0.4529654085636139, 0.5754572153091431, 0.43138736486434937, 0.29346534609794617, 0.4773404896259308]
[0.558560311794281, 0.5578688979148865, 0.434333860874176, 0.27922379970550537, 0.5437340140342712]
[0.5248903036117554, 0.5859290361404419, 0.43215930461883545, 0.3047769367694855, 0.5358414649963379]
[0.4917043447494507, 0.5589482188224792, 0.4278552234172821, 0.31723305583000183, 0.5395240187644958]
[0.5074089765548706, 0.5695875287055969, 0.4350868761539459, 0.28465187549591064, 0.5255884528160095]
[0.47425612807273865, 0.5785049200057983, 0.4397018551826477, 0.3021250367164612, 0.4918173551559448]
[0.5325873494148254, 0.5880876183509827, 0.42129048705101013, 0.2533036768436432, 0.5475322008132935]
[0.5381019711494446, 0.5854855179786682, 0.43420401215553284, 0.30015164613723755, 0.5532428026199341]
[0.5452013611793518, 0.5669054985046387, 0.45180657505989075, 0.3192457854747772, 0.5530234575271606]
[0.5093640685081482, 0.5732783675193787, 0.4584985077381134, 0.3211747109889984, 0.5223115682601929]
[0.46417635679244995, 0.5417426228523254, 0.4930790662765503, 0.38311198353767395, 0.5020462274551392]
[0.4935073256492615, 0.5719786286354065, 0.4315803349018097, 0.29821139574050903, 0.5280267000198364]
[0.533145010471344, 0.599443793296814, 0.4270898401737213, 0.2806592285633087, 0.557841420173645]
[0.5330712199211121, 0.5815700888633728, 0.41358429193496704, 0.28093183040618896, 0.5524764060974121]
[0.3664727509021759, 0.554492712020874, 0.4789113998413086, 0.287409245967865, 0.4113079607486725]
[0.5396259427070618, 0.5912894010543823, 0.4056960344314575, 0.2679663598537445, 0.5496213436126709]
[0.5098357200622559, 0.5797482132911682, 0.4392131268978119, 0.27147799730300903, 0.5234102606773376]
[0.4977434575557709, 0.5644871592521667, 0.45377838611602783, 0.3251873850822449, 0.5234713554382324]
[0.5451056361198425, 0.6013650894165039, 0.41802409291267395, 0.2565939128398895, 0.5754888653755188]
[0.5525940656661987, 0.5849400758743286, 0.42540276050567627, 0.25818929076194763, 0.554936945438385]
[0.4884021580219269, 0.563981831073761, 0.4261525273323059, 0.3082294166088104, 0.5240570306777954]
[0.5062455534934998, 0.5479693412780762, 0.45948830246925354, 0.27540042996406555, 0.5080452561378479]
[0.5357670187950134, 0.594333827495575, 0.4151941239833832, 0.2558757960796356, 0.539924144744873]
[0.5477003455162048, 0.5493116974830627, 0.4473276734352112, 0.31154268980026245, 0.5103842616081238]
[0.4295300841331482, 0.5361539721488953, 0.4780218303203583, 0.34608107805252075, 0.47616150975227356]
[0.6419127583503723, 0.5069815516471863, 0.48414716124534607, 0.3843379020690918, 0.612774670124054]
[0.5215141177177429, 0.5781102776527405, 0.401737242937088, 0.27423590421676636, 0.5287013053894043]
[0.5650550127029419, 0.5697811841964722, 0.4144923985004425, 0.2851196229457855, 0.5228381752967834]
[0.42441490292549133, 0.5676126480102539, 0.4618966281414032, 0.3119684159755707, 0.45158058404922485]
[0.5288898944854736, 0.5782528519630432, 0.40283265709877014, 0.2687431573867798, 0.5307797193527222]
[0.4493384063243866, 0.5675262808799744, 0.44514235854148865, 0.2950931489467621, 0.47741949558258057]
[0.541499137878418, 0.5087986588478088, 0.4750294089317322, 0.35776370763778687, 0.5275478959083557]
[0.48379552364349365, 0.5937032699584961, 0.41920071840286255, 0.2830924987792969, 0.4925927221775055]
[0.44551247358322144, 0.5560961961746216, 0.4293297231197357, 0.30334365367889404, 0.4674986004829407]
