1
【美国调查发现易拉罐上的细菌比马桶多】一妇女喝了罐饮料,被送进医院,离开了世界.验尸死于於细螺旋体病,追踪她喝的饮料,是直接用罐对嘴饮用.实验证明罐头受到鼠尿感染细螺旋体病毒.鼠尿含有毒性和致命物质.因罐头运输过程没有清洗的.喝易拉罐一定要用吸管！请转给你关心的朋友。
[0.4857262969017029, 0.5719783902168274, 0.4382639229297638, 0.3197415769100189, 0.5251074433326721]
[0.5311842560768127, 0.5808373093605042, 0.41395100951194763, 0.260445237159729, 0.560450553894043]
[0.3314429223537445, 0.5471940040588379, 0.4767238199710846, 0.3932374119758606, 0.4320519268512726]
[0.5383696556091309, 0.5800129175186157, 0.4148872196674347, 0.28552326560020447, 0.5534778833389282]
[0.4776689410209656, 0.5628489851951599, 0.42457687854766846, 0.2916836738586426, 0.5165838003158569]
[0.4708441197872162, 0.5699965357780457, 0.44079336524009705, 0.2781262993812561, 0.5239214897155762]
[0.4818546772003174, 0.5671708583831787, 0.4427948296070099, 0.3154818117618561, 0.5104961395263672]
[0.5392277836799622, 0.5745599865913391, 0.41243988275527954, 0.28400570154190063, 0.5162160992622375]
[0.5205631852149963, 0.5837563276290894, 0.40383484959602356, 0.28305763006210327, 0.5325307846069336]
[0.5065294504165649, 0.5810555815696716, 0.4216257929801941, 0.2882869243621826, 0.5245291590690613]
[0.5160489678382874, 0.5655227303504944, 0.4237113296985626, 0.31068140268325806, 0.518277108669281]
[0.5413965582847595, 0.5913143157958984, 0.4050649404525757, 0.25012362003326416, 0.5627120733261108]
[0.4324471354484558, 0.539293110370636, 0.47756636142730713, 0.30787140130996704, 0.48055189847946167]
[0.44705909490585327, 0.5693532228469849, 0.43502679467201233, 0.3067927360534668, 0.4965241551399231]
[0.5451405048370361, 0.5799071192741394, 0.4316512644290924, 0.266661137342453, 0.5196403861045837]
[0.47991427779197693, 0.5832898616790771, 0.43045637011528015, 0.27774807810783386, 0.5265172123908997]
[0.4954821467399597, 0.556583046913147, 0.467369943857193, 0.3102265000343323, 0.5418568849563599]
[0.4882071018218994, 0.5359528660774231, 0.5074148178100586, 0.39563682675361633, 0.5276269316673279]
[0.5339249968528748, 0.5480263233184814, 0.46448060870170593, 0.3148089647293091, 0.532848596572876]
[0.5117266178131104, 0.5673769116401672, 0.45691025257110596, 0.27609431743621826, 0.5583575367927551]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.4888913929462433, 0.5730242729187012, 0.41799110174179077, 0.3009133040904999, 0.49997854232788086]
[0.4905957877635956, 0.5733180046081543, 0.42548868060112, 0.28363877534866333, 0.5262462496757507]
[0.42455288767814636, 0.5455840229988098, 0.45104268193244934, 0.3272877633571625, 0.5048739314079285]
[0.4588800370693207, 0.5521540641784668, 0.4665982723236084, 0.37872961163520813, 0.47051501274108887]
[0.5207555294036865, 0.5824245810508728, 0.4304741621017456, 0.27471408247947693, 0.5381288528442383]
[0.4397481381893158, 0.555431604385376, 0.49079629778862, 0.32576608657836914, 0.5227346420288086]
[0.5438017845153809, 0.5942021012306213, 0.41521143913269043, 0.26803213357925415, 0.5571514964103699]
[0.5207555294036865, 0.5824245810508728, 0.4304741621017456, 0.27471408247947693, 0.5381288528442383]
[0.5841290354728699, 0.5890441536903381, 0.3872799277305603, 0.2164677381515503, 0.5738652348518372]
[0.47119376063346863, 0.5606586933135986, 0.44788655638694763, 0.3262886703014374, 0.4546041190624237]
[0.44695329666137695, 0.5450063347816467, 0.4436078667640686, 0.2996310591697693, 0.5008623600006104]
[0.3784252405166626, 0.5625640749931335, 0.4692871868610382, 0.3251602053642273, 0.44827884435653687]
[0.46019360423088074, 0.551858127117157, 0.4432050585746765, 0.3241976797580719, 0.48047536611557007]
[0.5173467993736267, 0.589106559753418, 0.4261946976184845, 0.28400084376335144, 0.5453266501426697]
[0.48624560236930847, 0.5684539079666138, 0.43336737155914307, 0.27916204929351807, 0.5358579158782959]
[0.49411672353744507, 0.5668970346450806, 0.44414931535720825, 0.31923893094062805, 0.5046558380126953]
[0.5383949279785156, 0.5741735100746155, 0.423282265663147, 0.26856377720832825, 0.5474890470504761]
[0.5436159372329712, 0.5602325797080994, 0.43165141344070435, 0.3013072609901428, 0.5662262439727783]
[0.5178724527359009, 0.5319857597351074, 0.47925636172294617, 0.3101617395877838, 0.5444815754890442]
[0.4074264466762543, 0.539120614528656, 0.48019522428512573, 0.3830370306968689, 0.4580179452896118]
[0.49742335081100464, 0.5608710050582886, 0.44188570976257324, 0.3191993832588196, 0.509444534778595]
[0.48379552364349365, 0.5937032699584961, 0.41920071840286255, 0.2830924987792969, 0.4925927221775055]
[0.5400903820991516, 0.5835076570510864, 0.4344645142555237, 0.26322659850120544, 0.5375416874885559]
[0.5444520711898804, 0.558462917804718, 0.4281914234161377, 0.26612588763237, 0.5477586388587952]
[0.48774027824401855, 0.5726553201675415, 0.42698147892951965, 0.28202688694000244, 0.5173794031143188]
[0.5091796517372131, 0.5813599228858948, 0.43348681926727295, 0.2902587056159973, 0.5449143052101135]
[0.5215621590614319, 0.5829810500144958, 0.4458067715167999, 0.2901172935962677, 0.5655043125152588]
[0.5342192053794861, 0.5597579479217529, 0.4201727509498596, 0.3018554747104645, 0.5250309705734253]
[0.4979143440723419, 0.5869189500808716, 0.4253878593444824, 0.27032768726348877, 0.529124915599823]
[0.5063168406486511, 0.5926086902618408, 0.44013819098472595, 0.285372793674469, 0.5215383768081665]
