1
网友消息 延安：#女城管#遭人肉 相册被破解#艳照#流出 踩人的胖子叫史瑞,那个黄衣服的的贱女叫郑媛媛,郑媛媛的舅舅是她所在城管大队一把手,这两货是夫妻都在延安城管大队凤凰大队
[0.582291841506958, 0.5796892046928406, 0.40014684200286865, 0.25482770800590515, 0.5588782429695129]
[0.5258284211158752, 0.5939548015594482, 0.428313672542572, 0.28373581171035767, 0.5244370698928833]
[0.5082006454467773, 0.5660272836685181, 0.42089444398880005, 0.2937752902507782, 0.5288437008857727]
[0.49788835644721985, 0.5730047821998596, 0.43336954712867737, 0.290466845035553, 0.49227315187454224]
[0.51890629529953, 0.563274621963501, 0.440813273191452, 0.26742538809776306, 0.5412388443946838]
[0.36861661076545715, 0.5507846474647522, 0.45852231979370117, 0.30134862661361694, 0.4582574963569641]
[0.4905584156513214, 0.5611797571182251, 0.47423338890075684, 0.3365088105201721, 0.521181046962738]
[0.5630735754966736, 0.5843885540962219, 0.42266637086868286, 0.2579081356525421, 0.5713885426521301]
[0.4897124767303467, 0.5473265051841736, 0.46519002318382263, 0.3772282898426056, 0.515924870967865]
[0.5756755471229553, 0.5529342293739319, 0.4388291537761688, 0.2909979224205017, 0.5761756300926208]
[0.5042287111282349, 0.5633407235145569, 0.4370036721229553, 0.30843886733055115, 0.4912587106227875]
[0.5538257956504822, 0.5844480395317078, 0.42120641469955444, 0.2912829518318176, 0.5286778211593628]
[0.5024579167366028, 0.5680124759674072, 0.4507826864719391, 0.32821667194366455, 0.5138063430786133]
[0.5302927494049072, 0.5577876567840576, 0.4503346085548401, 0.30291715264320374, 0.5234280824661255]
[0.513161301612854, 0.5833418369293213, 0.4218941032886505, 0.26974770426750183, 0.5551155209541321]
[0.50461345911026, 0.5152248740196228, 0.5009595155715942, 0.41409730911254883, 0.5009674429893494]
[0.5431288480758667, 0.5818119645118713, 0.3974645137786865, 0.26096004247665405, 0.5622746348381042]
[0.4503481984138489, 0.5709300637245178, 0.4489338994026184, 0.2939341068267822, 0.4987272322177887]
[0.5906588435173035, 0.5852357745170593, 0.3897913992404938, 0.25547704100608826, 0.5826319456100464]
[0.46412333846092224, 0.5599786043167114, 0.44503018260002136, 0.32320496439933777, 0.5024339556694031]
[0.5217241644859314, 0.5440517663955688, 0.44947588443756104, 0.322417676448822, 0.5295899510383606]
[0.48029497265815735, 0.5783863663673401, 0.4301031529903412, 0.29576992988586426, 0.5009608864784241]
[0.4176884591579437, 0.5681990385055542, 0.4420495927333832, 0.2990677058696747, 0.47888076305389404]
[0.5445119738578796, 0.5843786597251892, 0.41506728529930115, 0.25699159502983093, 0.5592021942138672]
[0.4744339883327484, 0.5844367146492004, 0.4514806866645813, 0.2971442639827728, 0.5187893509864807]
[0.4720146358013153, 0.5440384745597839, 0.41749638319015503, 0.26008325815200806, 0.4979524314403534]
[0.5120737552642822, 0.5599793791770935, 0.43132346868515015, 0.2947272062301636, 0.510352611541748]
[0.5018187165260315, 0.5552237629890442, 0.43484947085380554, 0.2856636047363281, 0.5004511475563049]
[0.5365508794784546, 0.55216383934021, 0.4312840402126312, 0.29469242691993713, 0.5539339184761047]
[0.5280181765556335, 0.5887385606765747, 0.4164504408836365, 0.28870707750320435, 0.5255850553512573]
[0.4975889325141907, 0.5623257756233215, 0.450648695230484, 0.31855812668800354, 0.48107805848121643]
[0.4950599670410156, 0.5726041793823242, 0.4141812324523926, 0.24051381647586823, 0.5164343118667603]
[0.5108681321144104, 0.5774985551834106, 0.4217213988304138, 0.28248581290245056, 0.5222198963165283]
[0.5248221755027771, 0.5721192359924316, 0.4216470718383789, 0.307737797498703, 0.5442348718643188]
[0.4434554874897003, 0.5588813424110413, 0.4500146508216858, 0.3115129768848419, 0.4966543912887573]
[0.5048905611038208, 0.5560047030448914, 0.4211322069168091, 0.2706656754016876, 0.5287232398986816]
[0.5570188164710999, 0.5352961421012878, 0.4528769552707672, 0.29201415181159973, 0.5823974609375]
[0.48968398571014404, 0.5722969770431519, 0.43834471702575684, 0.2895956337451935, 0.5161293148994446]
[0.5341710448265076, 0.5825801491737366, 0.4339699447154999, 0.2867925465106964, 0.561610758304596]
[0.5227880477905273, 0.5993070602416992, 0.42560672760009766, 0.273342102766037, 0.5279191136360168]
[0.524896502494812, 0.5520965456962585, 0.4221997857093811, 0.2949658930301666, 0.530153751373291]
[0.46882593631744385, 0.5520908236503601, 0.46029776334762573, 0.3174017071723938, 0.4828607141971588]
[0.45277202129364014, 0.5753559470176697, 0.4375750720500946, 0.2924286723136902, 0.49384719133377075]
[0.5620373487472534, 0.592904806137085, 0.42452073097229004, 0.2562257945537567, 0.5596562623977661]
