0
【住建部：北京雾霾主因是汽车尾气，不是供暖】住建部负责人称，表面看是供暖导致雾霾,但根子还是供暖结构和消费模式不合理。北方绝大部分地区城镇和农村建筑采暖靠燃煤,且存在大量低质煤。城市大院、农村民宅使用的独立小锅炉较多,污染物的排放就比较大。而北京雾霾的主要原因是汽车尾气,不是供暖。
[0.5579085350036621, 0.5420541167259216, 0.4659077823162079, 0.356574147939682, 0.5459643006324768]
[0.4999004304409027, 0.5682562589645386, 0.4485320448875427, 0.3346066176891327, 0.5020580291748047]
[0.48192253708839417, 0.5585466027259827, 0.43469327688217163, 0.32305410504341125, 0.5019394755363464]
[0.48522859811782837, 0.5374413132667542, 0.48705384135246277, 0.2668977975845337, 0.49666687846183777]
[0.37960854172706604, 0.5404549241065979, 0.45561280846595764, 0.3537544310092926, 0.4388614296913147]
[0.4968789219856262, 0.5908703804016113, 0.44159987568855286, 0.27712616324424744, 0.5254148244857788]
[0.5505932569503784, 0.5754552483558655, 0.4121951460838318, 0.2690763771533966, 0.543868362903595]
[0.4670831561088562, 0.5895444750785828, 0.44646918773651123, 0.2811124622821808, 0.5092830061912537]
[0.46394622325897217, 0.5555787682533264, 0.4653171896934509, 0.3405548334121704, 0.5021469593048096]
[0.48385652899742126, 0.5414776802062988, 0.48486775159835815, 0.3499666452407837, 0.505408763885498]
[0.45123881101608276, 0.5444462299346924, 0.46096915006637573, 0.35854366421699524, 0.5056546926498413]
[0.4419097304344177, 0.5297718048095703, 0.4752965569496155, 0.3798986077308655, 0.44640058279037476]
[0.36861369013786316, 0.5409000515937805, 0.47690656781196594, 0.36495062708854675, 0.43794047832489014]
[0.5049623847007751, 0.5778105854988098, 0.4172316789627075, 0.2719075381755829, 0.5360456109046936]
[0.49211418628692627, 0.5695415139198303, 0.44516873359680176, 0.28115594387054443, 0.5498976707458496]
[0.4823579490184784, 0.5595913529396057, 0.4600387215614319, 0.30546268820762634, 0.5382002592086792]
[0.570184051990509, 0.5402737259864807, 0.4210470914840698, 0.256805419921875, 0.5883593559265137]
[0.475981742143631, 0.5815842747688293, 0.4386647045612335, 0.2681492269039154, 0.5240380167961121]
[0.4823579490184784, 0.5595913529396057, 0.4600387215614319, 0.30546268820762634, 0.5382002592086792]
[0.4687422811985016, 0.5420533418655396, 0.4941237270832062, 0.38399383425712585, 0.49919602274894714]
[0.5186435580253601, 0.5719518065452576, 0.4371533989906311, 0.29682260751724243, 0.5351467132568359]
[0.4984087347984314, 0.5480160713195801, 0.4554611146450043, 0.30765289068222046, 0.523173451423645]
[0.5017986297607422, 0.5293450951576233, 0.4695921838283539, 0.355266273021698, 0.4987185597419739]
[0.5465191006660461, 0.585109531879425, 0.39025190472602844, 0.2629326581954956, 0.5516356825828552]
[0.5057412385940552, 0.5731833577156067, 0.42505669593811035, 0.2609477937221527, 0.5428910255432129]
[0.5763325691223145, 0.5981069803237915, 0.4093419909477234, 0.2584654688835144, 0.5676561594009399]
[0.5332418084144592, 0.5611274838447571, 0.4490728974342346, 0.3083052635192871, 0.5540370345115662]
[0.4920019805431366, 0.5721451044082642, 0.4425515830516815, 0.29316848516464233, 0.5122143030166626]
[0.48523685336112976, 0.5820927023887634, 0.42374804615974426, 0.2895307242870331, 0.4907516837120056]
[0.5557298064231873, 0.5750330090522766, 0.42266395688056946, 0.2986464500427246, 0.5352081060409546]
[0.519247829914093, 0.53765469789505, 0.540281355381012, 0.3775986135005951, 0.5598648190498352]
[0.5829417109489441, 0.5580489635467529, 0.4314773380756378, 0.27871173620224, 0.5544990301132202]
[0.5357926487922668, 0.5850853323936462, 0.4138292074203491, 0.2527380883693695, 0.5391902327537537]
[0.47477489709854126, 0.5502456426620483, 0.49593210220336914, 0.35297834873199463, 0.5071082711219788]
[0.5424541234970093, 0.569855272769928, 0.4244670271873474, 0.2836897671222687, 0.5344778895378113]
[0.46590113639831543, 0.5588781833648682, 0.45029428601264954, 0.3122074007987976, 0.4786156117916107]
